+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 51  | {\rm PSU}_{4}(4)      | 5         |                            | 1   |
| 51  | {\rm PSU}_{4}(4)      | ! 2,5     | z5                         | 0   |
| 51  | {\rm PSp}_{4}(4)      | ! 2,5     | b5                         | 1   |
| 51  | {\rm PSp}_{8}(2)      | ! 2,3     |                            | 1   |
| 51  | {\rm O}_{8}^-(2)      | ! 2,3     |                            | 1   |
| 51  | {\rm He}              | ! 7       | b7                         | 0   |
| 52  | {\rm PSL}_{4}(3)      | ! 2,3     |                            | 1   |
| 52  | {\rm PSU}_{3}(4)      | ! 2,5     | z5                         | 0   |
| 52  | {\rm PSU}_{4}(4)      | ! 2,5     |                            | 1   |
| 52  | 2.{\rm PSp}_{4}(5)    | ! 2,5     | b5                         | -1  |
| 52  | {}^{3}D_{4}(2)        | ! 2       |                            | 1   |
| 52  | 2.F_{4}(2)            | ! 2       |                            | 1   |
| 53  | A_{12}                | 11        |                            | 1   |
| 53  | A_{13}                | 11        |                            | 1   |
| 53  | {\rm M}_{12}          | 11        |                            | 1   |
| 54  | A_{12}                | 0,3,7     |                            | 1   |
| 54  | 6.{\rm PSL}_{3}(4)    | 7         | z3                         | 0   |
| 54  | {\rm M}_{12}          | 0,3       |                            | 1   |
| 54  | {\rm M}_{22}          | 7         |                            | 1   |
| 54  | 6.{\rm M}_{22}        | 7         | z3                         | 0   |
| 55  | A_{10}                | 5         |                            | 1   |
| 55  | A_{11}                | 5         |                            | 1   |
| 55  | A_{12}                | ! 2,3     |                            | 1   |
| 55  | A_{13}                | 13        |                            | 1   |
| 55  | {\rm PSL}_{3}(7)      | 3,19      |                            | 1   |
| 55  | {\rm PSU}_{5}(2)      | ! 2       |                            | 1   |
| 55  | {\rm PSU}_{5}(2)      | ! 2,3     | z3                         | 0   |
| 55  | {\rm M}_{11}          | ! 2,3     |                            | 1   |
| 55  | {\rm M}_{12}          | ! 2,3     |                            | 1   |
| 55  | {\rm M}_{22}          | ! 2,7     |                            | 1   |
| 55  | {\rm J}_1             | 19        | b5                         | 1   |
| 55  | {\rm HS}              | 5         |                            | 1   |
| 56  | A_{8}                 | 0,7       |                            | 1   |
| 56  | 2.A_{8}               | 0,7       | z3                         | 0   |
| 56  | 2.A_{8}               | 0,7       | i15                        | 0   |
| 56  | A_{9}                 | ! 2,3     |                            | 1   |
| 56  | 2.A_{9}               | ! 2,3     |                            | 1   |
| 56  | A_{10}                | 5         |                            | 1   |
| 56  | 2.A_{10}              | 5         | r6, r21                    | 1   |
| 56  | 2.A_{11}              | 5         | r6, r21                    | 1   |
| 56  | 4_1.{\rm PSL}_{3}(4)  | ! 2,3     | i1                         | 0   |
| 56  | {\rm PSL}_{3}(7)      | 0,2       |                            | 1   |
| 56  | {\rm PSU}_{3}(8)      | ! 2       |                            | -1  |
| 56  | 2.{\rm PSU}_{4}(3)    | ! 2,3     |                            | 1   |
| 56  | 2.{\rm PSU}_{6}(2)    | ! 2       |                            | 1   |
| 56  | {\rm PSp}_{6}(2)      | ! 2,3     |                            | 1   |
| 56  | 2.{\rm PSp}_{6}(2)    | 3         | i5                         | 0   |
| 56  | 2.{\rm O}_{8}^+(2)    | ! 2       |                            | 1   |
| 56  | 2.Sz(8)               | ! 2,13    | c13                        | 1   |
| 56  | 2.{\rm M}_{22}        | ! 2,5     |                            | 1   |
| 56  | 4.{\rm M}_{22}        | ! 2       | z8                         | 0   |
| 56  | {\rm J}_1             | 2         | b5                         | -1  |
| 56  | {\rm J}_1             | 5         |                            | 1   |
| 56  | {\rm J}_1             | ! 5,19    | b5                         | 1   |
| 56  | 2.{\rm J}_2           | 5         |                            | -1  |
| 56  | 2.{\rm J}_2           | 0,7       | b5                         | -1  |
| 56  | {\rm HS}              | 2         |                            | 1   |
| 56  | 2.{\rm HS}            | ! 2,5     |                            | 1   |
| 57  | {\rm PSL}_{3}(7)      | ! 2,7     |                            | 1   |
| 57  | 3.{\rm PSL}_{3}(7)    | ! 3, 7    | z3                         | 0   |
| 57  | {\rm PSU}_{3}(8)      | ! 2,3     | z3                         | 0   |
| 57  | 3.{\rm PSU}_{3}(8)    | ! 2,3     | z9                         | 0   |
| 57  | {\rm J}_2             | 3         | b5                         | 1   |
| 58  | {\rm PSU}_{4}(2)      | 5         |                            | 1   |
| 58  | 2.{\rm J}_2           | 7         | b5                         | -1  |
| 60  | 4_2.{\rm PSL}_{3}(4)  | 3         | i1, r7                     | 0   |
| 60  | 6.{\rm PSL}_{3}(4)    | 0,5       | z3, b7                     | 0   |
| 60  | 12_2.{\rm PSL}_{3}(4) | 0,5       | z12, b7                    | 0   |
| 60  | {\rm PSU}_{4}(2)      | 0,5       |                            | 1   |
| 60  | 2.{\rm PSU}_{4}(2)    | 0,5       |                            | -1  |
| 60  | 2.{\rm PSU}_{4}(2)    | 0,5       | z3                         | 0   |
| 60  | {\rm PSU}_{5}(3)      | ! 3       |                            | -1  |
| 60  | {\rm PSp}_{4}(11)     | 2         | b11                        | 0   |
| 60  | 2.{\rm PSp}_{4}(11)   | ! 2,11    | b11                        | 0   |
| 61  | {\rm PSL}_{6}(2)      | 3,7       |                            | 1   |
| 61  | {\rm PSU}_{5}(3)      | ! 2,3     | i1                         | 0   |
| 61  | {\rm PSp}_{4}(11)     | ! 2,11    | b11                        | 0   |
| 62  | {\rm PSL}_{6}(2)      | 0,5,31    |                            | 1   |
| 62  | {\rm PSp}_{6}(5)      | ! 5       | b5                         | -1  |
| 63  | {\rm PSL}_{3}(4)      | 5         |                            | 1   |
| 63  | {\rm PSL}_{3}(4)      | ! 2,5     | b5                         | 1   |
| 63  | 3.{\rm PSL}_{3}(4)    | 5         | z3                         | 0   |
| 63  | 3.{\rm PSL}_{3}(4)    | 0,7       | z3, b5                     | 0   |
| 63  | {\rm PSU}_{3}(4)      | 13        |                            | 1   |
| 63  | 2.{\rm PSp}_{6}(5)    | ! 2,5     | b5                         | 1   |
| 63  | Sz(8)                 | 5         |                            | 1   |
| 63  | {\rm J}_2             | ! 2,5     |                            | 1   |
| 64  | A_{8}                 | 0         |                            | 1   |
| 64  | 2.A_{8}               | 0         |                            | -1  |
| 64  | A_{10}                | 2         |                            | 1   |
| 64  | 2.A_{10}              | 0,7       |                            | 1   |
| 64  | A_{13}                | 2         |                            | -1  |
| 64  | A_{13}                | 3         |                            | 1   |
| 64  | A_{14}                | 2,3       |                            | 1   |
| 64  | 2.A_{14}              | ! 2,7     |                            | -1  |
| 64  | A_{15}                | 2         | b15                        | 0   |
| 64  | 2.A_{15}              | 3, 5      |                            | -1  |
| 64  | 2.A_{15}              | ! 2,3,5   | b15                        | 0   |
| 64  | A_{16}                | 2         | b7, b15, b39, b55          | 0   |
| 64  | {\rm PSL}_{3}(4)      | 0         |                            | 1   |
| 64  | 2.{\rm PSL}_{3}(4)    | 0,7       |                            | 1   |
| 64  | 4_1.{\rm PSL}_{3}(4)  | 0,7       | i1                         | 0   |
| 64  | 4_2.{\rm PSL}_{3}(4)  | 0         | i1                         | 0   |
| 64  | {\rm PSU}_{3}(4)      | 0,3       |                            | 1   |
| 64  | {\rm PSU}_{4}(2)      | 0         |                            | 1   |
| 64  | 2.{\rm PSU}_{4}(2)    | 0         |                            | -1  |
| 64  | {\rm PSp}_{4}(5)      | 2         |                            | -1  |
| 64  | {\rm PSp}_{4}(5)      | 3         |                            | 1   |
| 64  | 2.{\rm PSp}_{6}(2)    | 5         |                            | 1   |
| 64  | 2.{\rm PSp}_{6}(2)    | 0,7       | i5                         | 0   |
| 64  | Sz(8)                 | 0,7       |                            | 1   |
| 64  | 2.Sz(8)               | 0,7       |                            | 1   |
| 64  | G_{2}(3)              | ! 3       | z3                         | 0   |
| 64  | G_{2}(4)              | 3         |                            | 1   |
| 64  | 2.{\rm M}_{22}        | 11        |                            | 1   |
| 64  | 4.{\rm M}_{22}        | 3         | i1                         | 0   |
| 64  | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 64  | {\rm J}_2             | 2         | b5                         | 1   |
| 64  | 2.{\rm J}_2           | 5         |                            | -1  |
| 64  | 2.{\rm J}_2           | 0         | b5                         | -1  |
| 64  | {\rm Suz}             | 3         |                            | 1   |
| 65  | A_{13}                | ! 2,3,11  |                            | 1   |
| 65  | {\rm PSL}_{4}(3)      | ! 2,3     |                            | 1   |
| 65  | {\rm PSU}_{3}(4)      | 0,13      | z5                         | 0   |
| 65  | {\rm PSU}_{3}(4)      | ! 2,3     |                            | 1   |
| 65  | {\rm PSp}_{4}(5)      | 0,13      |                            | 1   |
| 65  | Sz(8)                 | ! 2,7     | y7                         | 1   |
| 65  | G_{2}(4)              | ! 2,3     |                            | 1   |
| 66  | A_{10}                | 7         |                            | 1   |
| 66  | A_{11}                | 7         |                            | 1   |
| 66  | A_{13}                | ! 2,13    |                            | 1   |
| 66  | A_{14}                | 7         |                            | 1   |
| 66  | {\rm PSU}_{5}(2)      | ! 2,3     | z3                         | -1  |
| 66  | {\rm M}_{12}          | ! 2,3     |                            | 1   |
| 66  | 6.{\rm M}_{22}        | 7         | z3                         | 0   |
| 66  | 6.{\rm M}_{22}        | 0,5,11    | z3, b7                     | 0   |
| 66  | 3.{\rm Suz}           | ! 3       | z3                         | 0   |
| 69  | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 70  | A_{8}                 | ! 2,3     |                            | 1   |
| 70  | 2.{\rm PSL}_{3}(4)    | ! 2,3     |                            | 1   |
| 70  | {\rm PSU}_{4}(3)      | 2         | z3                         | 0   |
| 70  | 2.{\rm PSU}_{4}(3)    | ! 2,3     |                            | 1   |
| 70  | 2.{\rm PSU}_{4}(3)    | ! 2,3     | z3                         | 0   |
| 70  | {\rm PSp}_{6}(2)      | ! 2,3     |                            | 1   |
| 70  | {\rm M}_{22}          | 2         | b11                        | 0   |
| 70  | {\rm J}_2             | 5         |                            | 1   |
| 70  | {\rm J}_2             | 0,7       | b5                         | 1   |
| 71  | {\rm PSL}_{3}(8)      | 73        |                            | 1   |
| 72  | 2.A_{9}               | 7         | z3, r2                     | 0   |
| 72  | {\rm PSL}_{3}(8)      | ! 2,73    |                            | 1   |
| 72  | {\rm PSU}_{3}(9)      | ! 3       |                            | -1  |
| 73  | {\rm PSL}_{3}(8)      | ! 2,7     | z7                         | 0   |
| 73  | {\rm PSU}_{3}(9)      | ! 2,3     |                            | 1   |
| 73  | {\rm PSU}_{3}(9)      | ! 3,5     | z5                         | 0   |
| 75  | A_{10}                | 0,5       |                            | 1   |
| 75  | {\rm PSU}_{3}(4)      | ! 2,13    | d13                        | 0   |
| 75  | {\rm J}_1             | 7         |                            | 1   |
| 76  | A_{14}                | 13        |                            | 1   |
| 76  | A_{15}                | 13        |                            | 1   |
| 76  | {\rm J}_1             | 2         |                            | -1  |
| 76  | {\rm J}_1             | ! 7,11    |                            | 1   |
| 77  | A_{14}                | ! 2,3,13  |                            | 1   |
| 77  | {}^{2}F_{4}(2)'       | 3         |                            | 1   |
| 77  | {\rm J}_1             | ! 2,3,19  |                            | 1   |
| 77  | {\rm J}_1             | ! 2,5     | b5                         | 1   |
| 77  | {\rm HS}              | ! 2,5     |                            | 1   |
| 77  | {\rm Fi}_{22}         | 3         |                            | 1   |
| 78  | A_{9}                 | 2         |                            | 1   |
| 78  | A_{14}                | ! 2,7     |                            | 1   |
| 78  | A_{15}                | 3,5       |                            | 1   |
| 78  | 6_1.{\rm PSU}_{4}(3)  | 5         | z3                         | 0   |
| 78  | {\rm PSp}_{4}(5)      | ! 2,5     | b5                         | 1   |
| 78  | {\rm PSp}_{6}(3)      | ! 3       |                            | 1   |
| 78  | {\rm O}_{7}(3)        | ! 3       |                            | 1   |
| 78  | G_{2}(3)              | ! 3       |                            | 1   |
| 78  | G_{2}(4)              | ! 2       |                            | 1   |
| 78  | {}^{2}F_{4}(2)'       | ! 2,3     |                            | 1   |
| 78  | {\rm M}_{12}          | 5         |                            | 1   |
| 78  | 3.{\rm M}_{22}        | 5         | z3                         | 0   |
| 78  | {\rm J}_3             | 2         | b5, b17                    | 1   |
| 78  | {\rm Suz}             | 3         |                            | 1   |
| 78  | 3.{\rm Suz}           | ! 2,3     | z3                         | 0   |
| 78  | {\rm Fi}_{22}         | 2         |                            | 1   |
| 78  | {\rm Fi}_{22}         | ! 2,3     |                            | 1   |
| 80  | 4_1.{\rm PSL}_{3}(4)  | 0,5       | i1, r7                     | 0   |
| 80  | 4_2.{\rm PSL}_{3}(4)  | 0,5       | i1, r7                     | 0   |
| 80  | 2.{\rm PSU}_{4}(2)    | 0,5       |                            | -1  |
| 80  | {\rm J}_3             | 2         | b17                        | 1   |
| 81  | {\rm PSU}_{4}(2)      | 0         |                            | 1   |
| 83  | A_{9}                 | 5         |                            | 1   |
| 83  | {\rm PSL}_{4}(4)      | 5,17      |                            | 1   |
| 83  | {\rm PSp}_{6}(2)      | 5         |                            | 1   |
| 83  | {\rm O}_{8}^+(2)      | 5         |                            | 1   |
| 83  | {\rm O}_{8}^-(2)      | 17        |                            | 1   |
| 84  | A_{9}                 | 0,7       |                            | 1   |
| 84  | A_{10}                | ! 2,5     |                            | 1   |
| 84  | A_{11}                | 11        |                            | 1   |
| 84  | 3.{\rm PSL}_{3}(4)    | 0,7       | z3                         | 0   |
| 84  | 12_2.{\rm PSL}_{3}(4) | 0,7       | z12                        | 0   |
| 84  | {\rm PSL}_{4}(4)      | 0,3,7     |                            | 1   |
| 84  | {\rm PSU}_{3}(5)      | ! 2,5     |                            | 1   |
| 84  | 3.{\rm PSU}_{3}(5)    | ! 3,5     | z3                         | 0   |
| 84  | 3_1.{\rm PSU}_{4}(3)  | 2         | z3                         | 0   |
| 84  | 6_1.{\rm PSU}_{4}(3)  | 0,7       | z3                         | 0   |
| 84  | 12_1.{\rm PSU}_{4}(3) | ! 2,3     | z12                        | 0   |
| 84  | {\rm PSp}_{4}(13)     | 2         | b13                        | -1  |
| 84  | 2.{\rm PSp}_{4}(13)   | ! 2,13    | b13                        | -1  |
| 84  | {\rm PSp}_{6}(2)      | 0,7       |                            | 1   |
| 84  | {\rm O}_{8}^+(2)      | 0,7       |                            | 1   |
| 84  | {\rm O}_{8}^-(2)      | 0,5,7     |                            | 1   |
| 84  | 2.{\rm M}_{12}        | 3         | i5, b11                    | 0   |
| 84  | 3.{\rm M}_{22}        | 11        | z3                         | 0   |
| 84  | 3.{\rm M}_{22}        | 2         | z3, b11                    | 0   |
| 84  | {\rm J}_2             | 2         |                            | 1   |
| 84  | 2.{\rm J}_2           | 0,7       |                            | -1  |
| 84  | {\rm J}_3             | 2,3       | b19                        | 0   |
| 85  | {\rm PSL}_{4}(4)      | ! 2,3     | z3                         | 0   |
| 85  | {\rm PSU}_{8}(2)      | 3         |                            | 1   |
| 85  | {\rm PSU}_{8}(2)      | ! 2,3     | z3                         | 0   |
| 85  | {\rm PSp}_{4}(4)      | ! 2,3     |                            | 1   |
| 85  | {\rm PSp}_{4}(13)     | ! 2,13    | b13                        | 1   |
| 85  | {\rm PSp}_{8}(2)      | ! 2,3     |                            | 1   |
| 85  | {\rm J}_2             | 5         |                            | 1   |
| 85  | {\rm J}_3             | 19        |                            | 1   |
| 85  | {\rm J}_3             | 0,5,17    | b19                        | 0   |
| 86  | {\rm PSU}_{8}(2)      | ! 2,3     |                            | 1   |
| 88  | 4.{\rm M}_{22}        | 5         | z8, b7                     | 0   |
| 89  | A_{10}                | 7         |                            | 1   |
| 89  | A_{11}                | 5         |                            | 1   |
| 89  | A_{12}                | 5         |                            | 1   |
| 89  | A_{15}                | 7         |                            | 1   |
| 89  | A_{16}                | 7         |                            | 1   |
| 89  | {\rm PSL}_{3}(9)      | 7,13      |                            | 1   |
| 89  | {\rm PSL}_{4}(3)      | 13        |                            | 1   |
| 89  | {\rm PSU}_{4}(3)      | 7         |                            | 1   |
| 89  | {\rm PSp}_{4}(5)      | 13        |                            | 1   |
| 89  | {\rm J}_1             | 7         | c19                        | 1   |
| 89  | {\rm J}_2             | 7         |                            | 1   |
| 90  | A_{10}                | 0,3       |                            | 1   |
| 90  | A_{15}                | ! 7,13    |                            | 1   |
| 90  | A_{16}                | 2         |                            | 1   |
| 90  | 2.{\rm PSL}_{3}(4)    | ! 2,7     |                            | 1   |
| 90  | 6.{\rm PSL}_{3}(4)    | 0,5       | z3                         | 0   |
| 90  | {\rm PSL}_{3}(9)      | 0, 2, 5   |                            | 1   |
| 90  | {\rm PSL}_{4}(3)      | 0,5       |                            | 1   |
| 90  | {\rm PSU}_{4}(3)      | 0,5       |                            | 1   |
| 90  | 3_1.{\rm PSU}_{4}(3)  | 2         | z3                         | 0   |
| 90  | 6_2.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 90  | {\rm PSp}_{4}(5)      | 0,3       |                            | 1   |
| 90  | {\rm O}_{7}(3)        | 2         |                            | 1   |
| 90  | G_{2}(3)              | 2         |                            | 1   |
| 90  | 6.{\rm M}_{22}        | 11        | z12                        | -1  |
| 90  | {\rm J}_2             | ! 2,7     |                            | 1   |
| 91  | A_{15}                | ! 2,3,5   |                            | 1   |
| 91  | {\rm PSL}_{3}(9)      | ! 2,3     |                            | 1   |
| 91  | {\rm PSL}_{3}(9)      | ! 2,3     | i1                         | 0   |
| 91  | {\rm PSL}_{3}(9)      | ! 2,3     | z8                         | 0   |
| 91  | {\rm PSp}_{6}(2)      | 3         |                            | 1   |
| 91  | {\rm PSp}_{6}(3)      | ! 2,3     | z3                         | 0   |
| 91  | {\rm O}_{7}(3)        | ! 2,3     |                            | 1   |
| 91  | Sz(8)                 | ! 2,5     |                            | 1   |
| 91  | G_{2}(3)              | ! 2,3     |                            | 1   |
| 91  | {\rm M}_{12}          | 11        |                            | 1   |
| 92  | 2.G_{2}(4)            | 5         |                            | -1  |
| 94  | {\rm PSL}_{5}(2)      | 7         |                            | 1   |
| 94  | {\rm PSp}_{6}(2)      | 7         |                            | 1   |
| 96  | {\rm PSL}_{3}(5)      | 31        |                            | 1   |
| 96  | {\rm PSL}_{3}(5)      | ! 5,31    | x31                        | 0   |
| 96  | {\rm PSL}_{3}(7)      | 3         |                            | 1   |
| 96  | 3.{\rm PSL}_{3}(7)    | ! 3,7     | z3                         | 0   |
| 96  | 12.{\rm M}_{22}       | 11        | z12                        | 0   |
| 98  | {\rm PSp}_{6}(2)      | 3         |                            | 1   |
| 98  | {\rm M}_{12}          | 5         |                            | 1   |
| 98  | {\rm M}_{22}          | 2         |                            | -1  |
| 98  | {\rm M}_{22}          | 5         |                            | 1   |
| 98  | {\rm HS}              | 5         |                            | 1   |
| 99  | {\rm M}_{12}          | ! 2,5     |                            | 1   |
| 99  | {\rm M}_{22}          | 0, 3, 11  |                            | 1   |
| 99  | 3.{\rm M}_{22}        | 0,7,11    | z3                         | 0   |
| 100 | A_{11}                | 2         |                            | 1   |
| 100 | A_{12}                | 2         |                            | 1   |
| 100 | {\rm PSU}_{5}(2)      | 3         |                            | 1   |
| 101 | A_{9}                 | 7         |                            | 1   |
| 101 | A_{10}                | 7         |                            | 1   |
| 101 | {\rm J}_2             | 7         |                            | 1   |
| 101 | {\rm He}              | 2         | b7                         | 0   |
| 103 | A_{16}                | 3, 5      |                            | 1   |
| 103 | A_{17}                | 3,5       |                            | 1   |
| 103 | G_{2}(3)              | 7         |                            | 1   |
| 104 | 2.A_{9}               | 3         |                            | 1   |
| 104 | A_{16}                | 0,11,13   |                            | 1   |
| 104 | {\rm PSU}_{3}(5)      | 2         |                            | -1  |
| 104 | {\rm PSU}_{4}(5)      | 2         |                            | -1  |
| 104 | {\rm PSU}_{4}(5)      | 3         |                            | 1   |
| 104 | {\rm PSU}_{4}(5)      | ! 3,5     | z3                         | 0   |
| 104 | 2.{\rm PSU}_{4}(5)    | 0,7,13    | z3                         | 0   |
| 104 | 2.{\rm PSU}_{4}(5)    | ! 2,5     |                            | -1  |
| 104 | {\rm PSp}_{4}(5)      | ! 5       |                            | 1   |
| 104 | 2.{\rm PSp}_{4}(5)    | 0,13      |                            | -1  |
| 104 | 2.{\rm PSp}_{6}(2)    | 3, 5      |                            | 1   |
| 104 | {\rm O}_{7}(3)        | 2         |                            | 1   |
| 104 | 2.{\rm O}_{8}^+(2)    | 3, 5      |                            | 1   |
| 104 | 2.Sz(8)               | 0,13      |                            | 1   |
| 104 | G_{2}(3)              | 0,13      |                            | 1   |
| 104 | 2.G_{2}(4)            | ! 2,5     | b5                         | -1  |
| 104 | {\rm M}_{23}          | 3         | b11, b23                   | 0   |
| 104 | {\rm McL}             | 3         | b11                        | 0   |
| 104 | {\rm He}              | 5         | r21                        | 1   |
| 105 | A_{9}                 | ! 2,3     |                            | 1   |
| 105 | A_{16}                | ! 2       |                            | 1   |
| 105 | A_{17}                | 17        |                            | 1   |
| 105 | {\rm PSU}_{3}(5)      | 0,7       |                            | 1   |
| 105 | 3.{\rm PSU}_{3}(5)    | 0,7       | z3                         | 0   |
| 105 | 3_1.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 105 | {\rm PSU}_{4}(5)      | 0,7,13    |                            | 1   |
| 105 | {\rm PSp}_{6}(2)      | ! 2,3     |                            | 1   |
| 105 | {\rm PSp}_{6}(3)      | ! 2,3     |                            | 1   |
| 105 | {\rm O}_{7}(3)        | ! 2,3     |                            | 1   |
| 105 | 3.{\rm M}_{22}        | 0,5,7     | z3, b11                    | 0   |
| 106 | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 108 | 2.{\rm M}_{12}        | 11        |                            | 1   |
| 109 | A_{11}                | 3         |                            | 1   |
| 109 | {}^{2}F_{4}(2)'       | 5         | r2, r3, b13                | 1   |
| 110 | A_{11}                | 0,5,11    |                            | 1   |
| 110 | {\rm PSU}_{3}(11)     | ! 11      |                            | -1  |
| 110 | {\rm PSU}_{5}(2)      | ! 2       |                            | -1  |
| 110 | {\rm PSU}_{5}(2)      | ! 2,3     | z3                         | 0   |
| 110 | 2.{\rm M}_{12}        | ! 2,3     | i2                         | 0   |
| 110 | {\rm J}_3             | 19        | b17, y9                    | 1   |
| 110 | {\rm Suz}             | 2         | b5, b13, r21               | 1   |
| 111 | {\rm PSU}_{3}(11)     | ! 2,11    |                            | 1   |
| 111 | {\rm PSU}_{3}(11)     | ! 2,11    | i1                         | 0   |
| 111 | 3.{\rm PSU}_{3}(11)   | ! 3,11    | z3                         | 0   |
| 111 | 3.{\rm PSU}_{3}(11)   | 0,5,37    | z12                        | 0   |
| 111 | {\rm Ly}              | 5         |                            | 1   |
| 112 | 2.A_{9}               | 0,7       |                            | 1   |
| 112 | 2.{\rm PSp}_{6}(2)    | 0,7       |                            | 1   |
| 112 | 2.{\rm O}_{8}^+(2)    | 0,7       |                            | 1   |
| 112 | {\rm J}_{4}           | 2         |                            | 1   |
| 114 | 6_1.{\rm PSU}_{4}(3)  | 7         | z3                         | 0   |
| 115 | A_{9}                 | 7         |                            | 1   |
| 118 | A_{17}                | 2         |                            | 1   |
| 118 | A_{18}                | 2         |                            | 1   |
| 118 | {\rm PSp}_{8}(2)      | 3,5       |                            | 1   |
| 119 | A_{17}                | ! 2,3,5   |                            | 1   |
| 119 | {\rm PSL}_{5}(3)      | 11        |                            | 1   |
| 119 | {\rm PSU}_{5}(2)      | 11        |                            | 1   |
| 119 | {\rm PSp}_{8}(2)      | 0,7,17    |                            | 1   |
| 119 | {\rm J}_1             | 11        | c19                        | 1   |
| 120 | A_{9}                 | 0,5       |                            | 1   |
| 120 | 2.A_{9}               | 0,5       | z3                         | 0   |
| 120 | A_{11}                | ! 2,11    |                            | 1   |
| 120 | A_{12}                | 3         |                            | 1   |
| 120 | A_{17}                | ! 2,17    |                            | 1   |
| 120 | A_{18}                | 3         |                            | 1   |
| 120 | 12_1.{\rm PSL}_{3}(4) | 0,5       | z12                        | 0   |
| 120 | {\rm PSL}_{5}(3)      | ! 3,11    |                            | 1   |
| 120 | {\rm PSU}_{4}(3)      | 2         |                            | 1   |
| 120 | 2.{\rm PSU}_{4}(3)    | ! 2,3     |                            | 1   |
| 120 | 4.{\rm PSU}_{4}(3)    | ! 2,3     | i1                         | 0   |
| 120 | 6_1.{\rm PSU}_{4}(3)  | 0,5       | z3                         | 0   |
| 120 | 12_1.{\rm PSU}_{4}(3) | ! 2,3     | z12                        | 0   |
| 120 | {\rm PSU}_{5}(2)      | 0,5       |                            | 1   |
| 120 | 2.{\rm PSU}_{6}(2)    | 3         |                            | 1   |
| 120 | 6.{\rm PSU}_{6}(2)    | ! 2,3     | z3                         | 0   |
| 120 | {\rm PSp}_{6}(2)      | 0,5       |                            | 1   |
| 120 | 2.{\rm PSp}_{6}(2)    | ! 2,3     |                            | 1   |
| 120 | {\rm M}_{12}          | 0,5       |                            | 1   |
| 120 | 2.{\rm M}_{12}        | 0,5       |                            | 1   |
| 120 | 2.{\rm M}_{22}        | ! 2,11    |                            | 1   |
| 120 | 6.{\rm M}_{22}        | 0,5,11    | z3                         | 0   |
| 120 | 12.{\rm M}_{22}       | ! 2,3     | z24                        | 0   |
| 120 | {\rm M}_{23}          | 2         |                            | 1   |
| 120 | {\rm M}_{24}          | 2         |                            | 1   |
| 120 | {\rm J}_1             | ! 11,19   | c19                        | 1   |
| 120 | 2.{\rm HS}            | 5         | i1                         | -1  |
| 121 | {\rm PSL}_{5}(3)      | ! 2,3     |                            | 1   |
| 121 | {\rm PSp}_{10}(3)     | ! 3       | z3                         | 0   |
| 122 | 2.{\rm PSp}_{10}(3)   | ! 2,3     | z3                         | 0   |
| 123 | {\rm PSL}_{5}(2)      | 5         |                            | 1   |
| 124 | A_{10}                | 7         |                            | 1   |
| 124 | {\rm PSL}_{3}(5)      | ! 5       |                            | 1   |
| 124 | {\rm PSL}_{3}(5)      | 2         |                            | -1  |
| 124 | {\rm PSL}_{3}(5)      | ! 2,5     | i1                         | 0   |
| 124 | {\rm PSL}_{3}(5)      | 0,31      | y24'                       | 0   |
| 124 | {\rm PSL}_{5}(2)      | 0, 3, 31  |                            | 1   |
| 124 | {\rm PSU}_{3}(5)      | 7         |                            | 1   |
| 124 | Sz(32)                | ! 2       | i1                         | 0   |
| 124 | G_{2}(5)              | ! 5       |                            | 1   |
| 124 | {}^{2}F_{4}(2)'       | 3         | b13                        | 1   |
| 124 | {\rm J}_2             | 7         |                            | 1   |
| 125 | {\rm PSL}_{3}(5)      | 0         |                            | 1   |
| 125 | {\rm PSL}_{7}(2)      | 127       |                            | 1   |
| 125 | {\rm PSU}_{3}(5)      | 0         |                            | 1   |
| 126 | A_{10}                | ! 2,5     |                            | 1   |
| 126 | A_{11}                | 11        |                            | 1   |
| 126 | A_{11}                | ! 2,11    | b11                        | 0   |
| 126 | A_{12}                | 3         | b11,i35                    | 0   |
| 126 | {\rm PSL}_{7}(2)      | ! 2,127   |                            | 1   |
| 126 | {\rm PSU}_{3}(5)      | ! 2,5     |                            | 1   |
| 126 | {\rm PSU}_{3}(5)      | ! 2,5     | i2                         | 0   |
| 126 | 3.{\rm PSU}_{3}(5)    | 0,7       | z3                         | 0   |
| 126 | 3.{\rm PSU}_{3}(5)    | 0,7       | z3, i2                     | 0   |
| 126 | 3_2.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 126 | 6_1.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 126 | 6_2.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 126 | 6_2.{\rm PSU}_{4}(3)  | ! 2,3     | z12                        | 0   |
| 126 | {\rm PSp}_{4}(7)      | 2         |                            | 1   |
| 126 | {\rm PSp}_{4}(7)      | ! 2,7     |                            | 1   |
| 126 | 2.{\rm M}_{22}        | 11        |                            | 1   |
| 126 | 2.{\rm M}_{22}        | ! 2,11    | b11                        | 0   |
