+-----+----------------------+-------------------+-----------------+-----+
| d   | G                    | ell               | field           | ind |
| 18  | {\rm PSL}_{2}(37)    | 2                 | Not implemented | -1  |
| 18  | 2.{\rm PSL}_{2}(37)  | !2, 37            | Not implemented | -1  |
| 19  | A_{20}               | !2, 5             |                 | 1   |
| 19  | A_{21}               | 3, 7              |                 | 1   |
| 19  | {\rm PSL}_{2}(19)    | !2, 5, 19         | Not implemented | 1   |
| 19  | {\rm PSL}_{2}(37)    | !2, 37            | Not implemented | 1   |
| 20  | A_{21}               | !3, 7             |                 | 1   |
| 20  | A_{22}               | 2, 11             |                 | 1   |
| 20  | {\rm PSL}_{2}(19)    | !3, 19            | Not implemented | 1   |
| 20  | 2.{\rm PSL}_{2}(19)  | !3, 19, 2         | Not implemented | -1  |
| 20  | {\rm PSL}_{2}(41)    | 2                 | Not implemented | -1  |
| 20  | 2.{\rm PSL}_{2}(41)  | !2, 41            | Not implemented | -1  |
| 21  | A_{22}               | !2, 11            |                 | 1   |
| 21  | A_{23}               | 23                |                 | 1   |
| 21  | {\rm PSL}_{2}(41)    | !2, 41            | Not implemented | 1   |
| 21  | {\rm PSL}_{2}(43)    | !43               | Not implemented | 0   |
| 22  | A_{23}               | !23               |                 | 1   |
| 22  | A_{24}               | 2, 3              |                 | 1   |
| 22  | {\rm PSL}_{2}(23)    | !23               | Not implemented | 1   |
| 22  | 2.{\rm PSL}_{2}(23)  | !2, 23            | Not implemented | -1  |
| 22  | 2.{\rm PSL}_{2}(43)  | !43, 2            | Not implemented | 0   |
| 23  | A_{24}               | !2, 3             |                 | 1   |
| 23  | A_{25}               | 5                 |                 | 1   |
| 23  | {\rm PSL}_{2}(23)    | !2, 3, 23         | Not implemented | 1   |
| 23  | {\rm PSL}_{2}(47)    | !47               | Not implemented | 0   |
| 24  | A_{25}               | !5                |                 | 1   |
| 24  | A_{26}               | 2, 13             |                 | 1   |
| 24  | {\rm PSL}_{2}(25)    | !5                | Not implemented | 1   |
| 24  | 2.{\rm PSL}_{2}(25)  | !13, 5            | Not implemented | -1  |
| 24  | {\rm PSL}_{2}(49)    | 2                 | Not implemented | -1  |
| 24  | 2.{\rm PSL}_{2}(49)  | !2, 7             | Not implemented | -1  |
| 24  | {\rm PSL}_{2}(23)    | !11, 23           | Not implemented | 1   |
| 24  | 2.{\rm PSL}_{2}(23)  | !11, 23, 2        | Not implemented | -1  |
| 24  | 2.{\rm PSL}_{2}(47)  | !47, 2            | Not implemented | 0   |
| 25  | A_{26}               | !2, 13            |                 | 1   |
| 25  | A_{27}               | 3                 |                 | 1   |
| 25  | {\rm PSL}_{2}(25)    | !2, 13, 5         | Not implemented | 1   |
| 25  | {\rm PSL}_{2}(49)    | !2, 7             | Not implemented | 1   |
| 26  | A_{27}               | !3                |                 | 1   |
| 26  | A_{28}               | 2, 7              |                 | 1   |
| 26  | {\rm PSL}_{2}(27)    | !3                | Not implemented | 1   |
| 26  | 2.{\rm PSL}_{2}(27)  | !2, 3             | Not implemented | -1  |
| 26  | {\rm PSL}_{2}(25)    | !5                | Not implemented | 1   |
| 26  | 2.{\rm PSL}_{2}(25)  | !2, 5             | Not implemented | -1  |
| 26  | {\rm PSL}_{2}(53)    | 2                 | Not implemented | -1  |
| 26  | 2.{\rm PSL}_{2}(53)  | !2, 53            | Not implemented | -1  |
| 27  | A_{28}               | !2, 7             |                 | 1   |
| 27  | A_{29}               | 29                |                 | 1   |
| 27  | {\rm PSL}_{2}(27)    | !2, 7, 3          | Not implemented | 1   |
| 27  | {\rm PSL}_{2}(53)    | !2, 53            | Not implemented | 1   |
| 28  | A_{29}               | !29               |                 | 1   |
| 28  | A_{30}               | 2, 3, 5           |                 | 1   |
| 28  | {\rm PSL}_{2}(27)    | !13, 3            | Not implemented | 1   |
| 28  | 2.{\rm PSL}_{2}(27)  | !13, 3, 2         | Not implemented | -1  |
| 28  | {\rm PSL}_{2}(29)    | !29               | Not implemented | 1   |
| 28  | 2.{\rm PSL}_{2}(29)  | !29               | Not implemented | -1  |
| 29  | A_{30}               | !2, 3, 5          |                 | 1   |
| 29  | A_{31}               | 31                |                 | 1   |
| 29  | {\rm PSL}_{2}(29)    | !2, 3, 5, 29      | Not implemented | 1   |
| 29  | {\rm PSL}_{2}(59)    | !59               | Not implemented | 0   |
| 30  | A_{31}               | !31               |                 | 1   |
| 30  | A_{32}               | 2                 |                 | 1   |
| 30  | {\rm PSL}_{2}(29)    | !7, 29            | Not implemented | 1   |
| 30  | 2.{\rm PSL}_{2}(29)  | !2, 29            | Not implemented | -1  |
| 30  | {\rm PSL}_{2}(31)    | !31               | Not implemented | 1   |
| 30  | 2.{\rm PSL}_{2}(31)  | !2, 31            | Not implemented | -1  |
| 30  | 2.{\rm PSL}_{2}(59)  | !59, 2            | Not implemented | 0   |
| 30  | {\rm PSL}_{2}(61)    | 2                 | Not implemented | -1  |
| 30  | 2.{\rm PSL}_{2}(61)  | !2, 61            | Not implemented | -1  |
| 31  | A_{32}               | !2                |                 | 1   |
| 31  | A_{33}               | 3, 11             |                 | 1   |
| 31  | {\rm PSL}_{2}(32)    | !2                | Not implemented | 1   |
| 31  | {\rm PSL}_{2}(31)    | !2, 31            | Not implemented | 1   |
| 31  | {\rm PSL}_{2}(61)    | !2, 61            | Not implemented | 1   |
| 32  | A_{33}               | !3, 11            |                 | 1   |
| 32  | A_{34}               | 2, 17             |                 | 1   |
| 32  | {\rm PSL}_{2}(32)    | !3, 11, 2         | Not implemented | 1   |
| 32  | {\rm PSL}_{2}(31)    | !31               | Not implemented | 1   |
| 32  | 2.{\rm PSL}_{2}(31)  | !31, 2            | Not implemented | -1  |
| 33  | A_{34}               | !2, 17            |                 | 1   |
| 33  | A_{35}               | 5, 7              |                 | 1   |
| 33  | {\rm PSL}_{2}(32)    | !31, 2            | Not implemented | 1   |
| 33  | {\rm PSL}_{2}(67)    | !67               | Not implemented | 0   |
| 34  | A_{35}               | !5, 7             |                 | 1   |
| 34  | A_{36}               | 2, 3              |                 | 1   |
| 34  | 2.{\rm PSL}_{2}(67)  | !67, 2            | Not implemented | 0   |
| 35  | A_{36}               | !2, 3             |                 | 1   |
| 35  | A_{37}               | 37                |                 | 1   |
| 35  | {\rm PSL}_{2}(71)    | !71               | Not implemented | 0   |
| 36  | A_{37}               | !37               |                 | 1   |
| 36  | A_{38}               | 2, 19             |                 | 1   |
| 36  | {\rm PSL}_{2}(37)    | !37               | Not implemented | 1   |
| 36  | 2.{\rm PSL}_{2}(37)  | !19, 37           | Not implemented | -1  |
| 36  | 2.{\rm PSL}_{2}(71)  | !71, 2            | Not implemented | 0   |
| 36  | {\rm PSL}_{2}(73)    | 2                 | Not implemented | -1  |
| 36  | 2.{\rm PSL}_{2}(73)  | !2, 73            | Not implemented | -1  |
| 37  | A_{38}               | !2, 19            |                 | 1   |
| 37  | A_{39}               | 3, 13             |                 | 1   |
| 37  | {\rm PSL}_{2}(37)    | !2, 19, 37        | Not implemented | 1   |
| 37  | {\rm PSL}_{2}(73)    | !2, 73            | Not implemented | 1   |
| 38  | A_{39}               | !3, 13            |                 | 1   |
| 38  | A_{40}               | 2, 5              |                 | 1   |
| 38  | {\rm PSL}_{2}(37)    | !3, 37            | Not implemented | 1   |
| 38  | 2.{\rm PSL}_{2}(37)  | !2, 37            | Not implemented | -1  |
| 39  | A_{40}               | !2, 5             |                 | 1   |
| 39  | A_{41}               | 41                |                 | 1   |
| 39  | {\rm PSL}_{2}(79)    | !79               | Not implemented | 0   |
| 40  | A_{41}               | !41               |                 | 1   |
| 40  | A_{42}               | 2, 3, 7           |                 | 1   |
| 40  | {\rm PSL}_{2}(81)    | 2                 | Not implemented | -1  |
| 40  | 2.{\rm PSL}_{2}(81)  | !2, 3             | Not implemented | -1  |
| 40  | {\rm PSL}_{2}(41)    | !41               | Not implemented | 1   |
| 40  | 2.{\rm PSL}_{2}(41)  | !41               | Not implemented | -1  |
| 40  | 2.{\rm PSL}_{2}(79)  | !79, 2            | Not implemented | 0   |
| 41  | A_{42}               | !2, 3, 7          |                 | 1   |
| 41  | A_{43}               | 43                |                 | 1   |
| 41  | {\rm PSL}_{2}(81)    | !2, 3             | Not implemented | 1   |
| 41  | {\rm PSL}_{2}(41)    | !2, 3, 7, 41      | Not implemented | 1   |
| 41  | {\rm PSL}_{2}(83)    | !83               | Not implemented | 0   |
| 42  | A_{43}               | !43               |                 | 1   |
| 42  | A_{44}               | 2, 11             |                 | 1   |
| 42  | {\rm PSL}_{2}(41)    | !41               | Not implemented | 1   |
| 42  | 2.{\rm PSL}_{2}(41)  | !2, 41            | Not implemented | -1  |
| 42  | {\rm PSL}_{2}(43)    | !43               | Not implemented | 1   |
| 42  | 2.{\rm PSL}_{2}(43)  | !2, 43            | Not implemented | -1  |
| 42  | 2.{\rm PSL}_{2}(83)  | !83, 2            | Not implemented | 0   |
| 43  | A_{44}               | !2, 11            |                 | 1   |
| 43  | A_{45}               | 3, 5              |                 | 1   |
| 43  | {\rm PSL}_{2}(43)    | !2, 11, 43        | Not implemented | 1   |
| 44  | A_{45}               | !3, 5             |                 | 1   |
| 44  | A_{46}               | 2, 23             |                 | 1   |
| 44  | {\rm PSL}_{2}(43)    | !43               | Not implemented | 1   |
| 44  | 2.{\rm PSL}_{2}(43)  | !43, 2            | Not implemented | -1  |
| 44  | {\rm PSL}_{2}(89)    | 2                 | Not implemented | -1  |
| 44  | 2.{\rm PSL}_{2}(89)  | !2, 89            | Not implemented | -1  |
| 45  | A_{46}               | !2, 23            |                 | 1   |
| 45  | A_{47}               | 47                |                 | 1   |
| 45  | {\rm PSL}_{2}(89)    | !2, 89            | Not implemented | 1   |
| 46  | A_{47}               | !47               |                 | 1   |
| 46  | A_{48}               | 2, 3              |                 | 1   |
| 46  | {\rm PSL}_{2}(47)    | !47               | Not implemented | 1   |
| 46  | 2.{\rm PSL}_{2}(47)  | !2, 47            | Not implemented | -1  |
| 47  | A_{48}               | !2, 3             |                 | 1   |
| 47  | A_{49}               | 7                 |                 | 1   |
| 47  | {\rm PSL}_{2}(47)    | !2, 3, 47         | Not implemented | 1   |
| 48  | A_{49}               | !7                |                 | 1   |
| 48  | A_{50}               | 2, 5              |                 | 1   |
| 48  | {\rm PSL}_{2}(49)    | !7                | Not implemented | 1   |
| 48  | 2.{\rm PSL}_{2}(49)  | !5, 7             | Not implemented | -1  |
| 48  | {\rm PSL}_{2}(47)    | !23, 47           | Not implemented | 1   |
| 48  | 2.{\rm PSL}_{2}(47)  | !23, 47, 2        | Not implemented | -1  |
| 48  | {\rm PSL}_{2}(97)    | 2                 | Not implemented | -1  |
| 48  | 2.{\rm PSL}_{2}(97)  | !2, 97            | Not implemented | -1  |
| 49  | A_{50}               | !2, 5             |                 | 1   |
| 49  | A_{51}               | 3, 17             |                 | 1   |
| 49  | {\rm PSL}_{2}(49)    | !2, 5, 7          | Not implemented | 1   |
| 49  | {\rm PSL}_{2}(97)    | !2, 97            | Not implemented | 1   |
| 50  | A_{51}               | !3, 17            |                 | 1   |
| 50  | A_{52}               | 2, 13             |                 | 1   |
| 50  | {\rm PSL}_{2}(49)    | !7                | Not implemented | 1   |
| 50  | 2.{\rm PSL}_{2}(49)  | !2, 7             | Not implemented | -1  |
| 50  | {\rm PSL}_{2}(101)   | 2                 | Not implemented | -1  |
| 50  | 2.{\rm PSL}_{2}(101) | !2, 101           | Not implemented | -1  |
| 51  | A_{52}               | !2, 13            |                 | 1   |
| 51  | A_{53}               | 53                |                 | 1   |
| 51  | {\rm PSL}_{2}(101)   | !2, 101           | Not implemented | 1   |
| 51  | {\rm PSL}_{2}(103)   | !103              | Not implemented | 0   |
| 52  | A_{53}               | !53               |                 | 1   |
| 52  | A_{54}               | 2, 3              |                 | 1   |
| 52  | {\rm PSL}_{2}(53)    | !53               | Not implemented | 1   |
| 52  | 2.{\rm PSL}_{2}(53)  | !3, 53            | Not implemented | -1  |
| 52  | 2.{\rm PSL}_{2}(103) | !103, 2           | Not implemented | 0   |
| 53  | A_{54}               | !2, 3             |                 | 1   |
| 53  | A_{55}               | 5, 11             |                 | 1   |
| 53  | {\rm PSL}_{2}(53)    | !2, 3, 53         | Not implemented | 1   |
| 53  | {\rm PSL}_{2}(107)   | !107              | Not implemented | 0   |
| 54  | A_{55}               | !5, 11            |                 | 1   |
| 54  | A_{56}               | 2, 7              |                 | 1   |
| 54  | {\rm PSL}_{2}(53)    | !13, 53           | Not implemented | 1   |
| 54  | 2.{\rm PSL}_{2}(53)  | !2, 53            | Not implemented | -1  |
| 54  | 2.{\rm PSL}_{2}(107) | !107, 2           | Not implemented | 0   |
| 54  | {\rm PSL}_{2}(109)   | 2                 | Not implemented | -1  |
| 54  | 2.{\rm PSL}_{2}(109) | !2, 109           | Not implemented | -1  |
| 55  | A_{56}               | !2, 7             |                 | 1   |
| 55  | A_{57}               | 3, 19             |                 | 1   |
| 55  | {\rm PSL}_{2}(109)   | !2, 109           | Not implemented | 1   |
| 56  | A_{57}               | !3, 19            |                 | 1   |
| 56  | A_{58}               | 2, 29             |                 | 1   |
| 56  | {\rm PSL}_{2}(113)   | 2                 | Not implemented | -1  |
| 56  | 2.{\rm PSL}_{2}(113) | !2, 113           | Not implemented | -1  |
| 57  | A_{58}               | !2, 29            |                 | 1   |
| 57  | A_{59}               | 59                |                 | 1   |
| 57  | {\rm PSL}_{2}(113)   | !2, 113           | Not implemented | 1   |
| 58  | A_{59}               | !59               |                 | 1   |
| 58  | A_{60}               | 2, 3, 5           |                 | 1   |
| 58  | {\rm PSL}_{2}(59)    | !59               | Not implemented | 1   |
| 58  | 2.{\rm PSL}_{2}(59)  | !2, 59            | Not implemented | -1  |
| 59  | A_{60}               | !2, 3, 5          |                 | 1   |
| 59  | A_{61}               | 61                |                 | 1   |
| 59  | {\rm PSL}_{2}(59)    | !2, 3, 5, 59      | Not implemented | 1   |
| 60  | A_{61}               | !61               |                 | 1   |
| 60  | A_{62}               | 2, 31             |                 | 1   |
| 60  | {\rm PSL}_{2}(121)   | 2                 | Not implemented | -1  |
| 60  | 2.{\rm PSL}_{2}(121) | !2, 11            | Not implemented | -1  |
| 60  | {\rm PSL}_{2}(59)    | !29, 59           | Not implemented | 1   |
| 60  | 2.{\rm PSL}_{2}(59)  | !29, 59, 2        | Not implemented | -1  |
| 60  | {\rm PSL}_{2}(61)    | !61               | Not implemented | 1   |
| 60  | 2.{\rm PSL}_{2}(61)  | !31, 61           | Not implemented | -1  |
| 61  | A_{62}               | !2, 31            |                 | 1   |
| 61  | A_{63}               | 3, 7              |                 | 1   |
| 61  | {\rm PSL}_{2}(121)   | !2, 11            | Not implemented | 1   |
| 61  | {\rm PSL}_{2}(61)    | !2, 31, 61        | Not implemented | 1   |
| 62  | A_{63}               | !3, 7             |                 | 1   |
| 62  | A_{64}               | 2                 |                 | 1   |
| 62  | {\rm PSL}_{2}(125)   | 2                 | Not implemented | -1  |
| 62  | 2.{\rm PSL}_{2}(125) | !2, 5             | Not implemented | -1  |
| 62  | {\rm PSL}_{2}(61)    | !61               | Not implemented | 1   |
| 62  | 2.{\rm PSL}_{2}(61)  | !2, 61            | Not implemented | -1  |
| 63  | A_{64}               | !2                |                 | 1   |
| 63  | A_{65}               | 5, 13             |                 | 1   |
| 63  | {\rm PSL}_{2}(64)    | !2                | Not implemented | 1   |
| 63  | {\rm PSL}_{2}(125)   | !2, 5             | Not implemented | 1   |
| 63  | {\rm PSL}_{2}(127)   | !127              | Not implemented | 0   |
| 64  | A_{65}               | !5, 13            |                 | 1   |
| 64  | A_{66}               | 2, 3, 11          |                 | 1   |
| 64  | {\rm PSL}_{2}(64)    | !5, 13, 2         | Not implemented | 1   |
| 64  | 2.{\rm PSL}_{2}(127) | !127, 2           | Not implemented | 0   |
| 65  | A_{66}               | !2, 3, 11         |                 | 1   |
| 65  | A_{67}               | 67                |                 | 1   |
| 65  | {\rm PSL}_{2}(64)    | !2                | Not implemented | 1   |
| 65  | {\rm PSL}_{2}(131)   | !131              | Not implemented | 0   |
| 66  | A_{67}               | !67               |                 | 1   |
| 66  | A_{68}               | 2, 17             |                 | 1   |
| 66  | {\rm PSL}_{2}(67)    | !67               | Not implemented | 1   |
| 66  | 2.{\rm PSL}_{2}(67)  | !2, 67            | Not implemented | -1  |
| 66  | 2.{\rm PSL}_{2}(131) | !131, 2           | Not implemented | 0   |
| 67  | A_{68}               | !2, 17            |                 | 1   |
| 67  | A_{69}               | 3, 23             |                 | 1   |
| 67  | {\rm PSL}_{2}(67)    | !2, 17, 67        | Not implemented | 1   |
| 68  | A_{69}               | !3, 23            |                 | 1   |
| 68  | A_{70}               | 2, 5, 7           |                 | 1   |
| 68  | {\rm PSL}_{2}(67)    | !67               | Not implemented | 1   |
| 68  | 2.{\rm PSL}_{2}(67)  | !67, 2            | Not implemented | -1  |
| 68  | {\rm PSL}_{2}(137)   | 2                 | Not implemented | -1  |
| 68  | 2.{\rm PSL}_{2}(137) | !2, 137           | Not implemented | -1  |
| 69  | A_{70}               | !2, 5, 7          |                 | 1   |
| 69  | A_{71}               | 71                |                 | 1   |
| 69  | {\rm PSL}_{2}(137)   | !2, 137           | Not implemented | 1   |
| 69  | {\rm PSL}_{2}(139)   | !139              | Not implemented | 0   |
| 70  | A_{71}               | !71               |                 | 1   |
| 70  | A_{72}               | 2, 3              |                 | 1   |
| 70  | {\rm PSL}_{2}(71)    | !71               | Not implemented | 1   |
| 70  | 2.{\rm PSL}_{2}(71)  | !2, 71            | Not implemented | -1  |
| 70  | 2.{\rm PSL}_{2}(139) | !139, 2           | Not implemented | 0   |
| 71  | A_{72}               | !2, 3             |                 | 1   |
| 71  | A_{73}               | 73                |                 | 1   |
| 71  | {\rm PSL}_{2}(71)    | !2, 3, 71         | Not implemented | 1   |
| 72  | A_{73}               | !73               |                 | 1   |
| 72  | A_{74}               | 2, 37             |                 | 1   |
| 72  | {\rm PSL}_{2}(71)    | !71               | Not implemented | 1   |
| 72  | 2.{\rm PSL}_{2}(71)  | !71, 2            | Not implemented | -1  |
| 72  | {\rm PSL}_{2}(73)    | !73               | Not implemented | 1   |
| 72  | 2.{\rm PSL}_{2}(73)  | !37, 73           | Not implemented | -1  |
| 73  | A_{74}               | !2, 37            |                 | 1   |
| 73  | A_{75}               | 3, 5              |                 | 1   |
| 73  | {\rm PSL}_{2}(73)    | !2, 37, 73        | Not implemented | 1   |
| 74  | A_{75}               | !3, 5             |                 | 1   |
| 74  | A_{76}               | 2, 19             |                 | 1   |
| 74  | {\rm PSL}_{2}(73)    | !73               | Not implemented | 1   |
| 74  | 2.{\rm PSL}_{2}(73)  | !2, 73            | Not implemented | -1  |
| 74  | {\rm PSL}_{2}(149)   | 2                 | Not implemented | -1  |
| 74  | 2.{\rm PSL}_{2}(149) | !2, 149           | Not implemented | -1  |
| 75  | A_{76}               | !2, 19            |                 | 1   |
| 75  | A_{77}               | 7, 11             |                 | 1   |
| 75  | {\rm PSL}_{2}(149)   | !2, 149           | Not implemented | 1   |
| 75  | {\rm PSL}_{2}(151)   | !151              | Not implemented | 0   |
| 76  | A_{77}               | !7, 11            |                 | 1   |
| 76  | A_{78}               | 2, 3, 13          |                 | 1   |
| 76  | 2.{\rm PSL}_{2}(151) | !151, 2           | Not implemented | 0   |
| 77  | A_{78}               | !2, 3, 13         |                 | 1   |
| 77  | A_{79}               | 79                |                 | 1   |
| 78  | A_{79}               | !79               |                 | 1   |
| 78  | A_{80}               | 2, 5              |                 | 1   |
| 78  | {\rm PSL}_{2}(79)    | !79               | Not implemented | 1   |
| 78  | 2.{\rm PSL}_{2}(79)  | !2, 79            | Not implemented | -1  |
| 78  | {\rm PSL}_{2}(157)   | 2                 | Not implemented | -1  |
| 78  | 2.{\rm PSL}_{2}(157) | !2, 157           | Not implemented | -1  |
| 79  | A_{80}               | !2, 5             |                 | 1   |
| 79  | A_{81}               | 3                 |                 | 1   |
| 79  | {\rm PSL}_{2}(79)    | !2, 5, 79         | Not implemented | 1   |
| 79  | {\rm PSL}_{2}(157)   | !2, 157           | Not implemented | 1   |
| 80  | A_{81}               | !3                |                 | 1   |
| 80  | A_{82}               | 2, 41             |                 | 1   |
| 80  | {\rm PSL}_{2}(81)    | !3                | Not implemented | 1   |
| 80  | 2.{\rm PSL}_{2}(81)  | !41, 3            | Not implemented | -1  |
| 80  | {\rm PSL}_{2}(79)    | !79               | Not implemented | 1   |
| 80  | 2.{\rm PSL}_{2}(79)  | !79, 2            | Not implemented | -1  |
| 81  | A_{82}               | !2, 41            |                 | 1   |
| 81  | A_{83}               | 83                |                 | 1   |
| 81  | {\rm PSL}_{2}(81)    | !2, 41, 3         | Not implemented | 1   |
| 81  | {\rm PSL}_{2}(163)   | !163              | Not implemented | 0   |
| 82  | A_{83}               | !83               |                 | 1   |
| 82  | A_{84}               | 2, 3, 7           |                 | 1   |
| 82  | {\rm PSL}_{2}(81)    | !3                | Not implemented | 1   |
| 82  | 2.{\rm PSL}_{2}(81)  | !2, 3             | Not implemented | -1  |
| 82  | {\rm PSL}_{2}(83)    | !83               | Not implemented | 1   |
| 82  | 2.{\rm PSL}_{2}(83)  | !2, 83            | Not implemented | -1  |
| 82  | 2.{\rm PSL}_{2}(163) | !163, 2           | Not implemented | 0   |
| 83  | A_{84}               | !2, 3, 7          |                 | 1   |
| 83  | A_{85}               | 5, 17             |                 | 1   |
| 83  | {\rm PSL}_{2}(83)    | !2, 3, 7, 83      | Not implemented | 1   |
| 83  | {\rm PSL}_{2}(167)   | !167              | Not implemented | 0   |
| 84  | A_{85}               | !5, 17            |                 | 1   |
| 84  | A_{86}               | 2, 43             |                 | 1   |
| 84  | {\rm PSL}_{2}(169)   | 2                 | Not implemented | -1  |
| 84  | 2.{\rm PSL}_{2}(169) | !2, 13            | Not implemented | -1  |
| 84  | {\rm PSL}_{2}(83)    | !41, 83           | Not implemented | 1   |
| 84  | 2.{\rm PSL}_{2}(83)  | !41, 83, 2        | Not implemented | -1  |
| 84  | 2.{\rm PSL}_{2}(167) | !167, 2           | Not implemented | 0   |
| 85  | A_{86}               | !2, 43            |                 | 1   |
| 85  | A_{87}               | 3, 29             |                 | 1   |
| 85  | {\rm PSL}_{2}(169)   | !2, 13            | Not implemented | 1   |
| 86  | A_{87}               | !3, 29            |                 | 1   |
| 86  | A_{88}               | 2, 11             |                 | 1   |
| 86  | {\rm PSL}_{2}(173)   | 2                 | Not implemented | -1  |
| 86  | 2.{\rm PSL}_{2}(173) | !2, 173           | Not implemented | -1  |
| 87  | A_{88}               | !2, 11            |                 | 1   |
| 87  | A_{89}               | 89                |                 | 1   |
| 87  | {\rm PSL}_{2}(173)   | !2, 173           | Not implemented | 1   |
| 88  | A_{89}               | !89               |                 | 1   |
| 88  | A_{90}               | 2, 3, 5           |                 | 1   |
