"d","G","ell","field","ind"
"211","A_{212}","!2, 53","","1"
"211","A_{213}","3, 71","","1"
"211","{\rm PSL}_{2}(211)","!2, 53, 211","Not implemented","1"
"211","{\rm PSL}_{2}(421)","!2, 421","Not implemented","1"
"212","A_{213}","!3, 71","","1"
"212","A_{214}","2, 107","","1"
"212","{\rm PSL}_{2}(211)","!211","Not implemented","1"
"212","2.{\rm PSL}_{2}(211)","!211, 2","Not implemented","-1"
"213","A_{214}","!2, 107","","1"
"213","A_{215}","5, 43","","1"
"214","{\rm J}_3","19","b17, y9","1"
"214","A_{215}","!5, 43","","1"
"214","A_{216}","2, 3","","1"
"215","A_{216}","!2, 3","","1"
"215","A_{217}","7, 31","","1"
"215","{\rm PSL}_{2}(431)","!431","Not implemented","0"
"216","A_{9}","0","","1"
"216","2.A_{10}","0,3","","1"
"216","12_1.{\rm PSU}_{4}(3)","0,7","z12","0"
"216","12_2.{\rm PSU}_{4}(3)","! 2,3","z12","0"
"216","{\rm PSp}_{6}(2)","0","","1"
"216","2.{\rm J}_2","0,3","","-1"
"216","A_{217}","!7, 31","","1"
"216","A_{218}","2, 109","","1"
"216","2.{\rm PSL}_{2}(431)","!431, 2","Not implemented","0"
"216","{\rm PSL}_{2}(433)","2","Not implemented","-1"
"216","2.{\rm PSL}_{2}(433)","!2, 433","Not implemented","-1"
"217","A_{10}","5","","1"
"217","{\rm PSL}_{5}(2)","! 2","","1"
"217","{\rm PSL}_{6}(2)","! 2","","1"
"217","A_{218}","!2, 109","","1"
"217","A_{219}","3, 73","","1"
"217","{\rm PSL}_{2}(433)","!2, 433","Not implemented","1"
"218","{}^{3}D_{4}(3)","2","","1"
"218","{}^{3}D_{4}(3)","73","","1"
"218","A_{219}","!3, 73","","1"
"218","A_{220}","2, 5, 11","","1"
"219","{}^{3}D_{4}(3)","! 2,3,73","","1"
"219","A_{220}","!2, 5, 11","","1"
"219","A_{221}","13, 17","","1"
"219","{\rm PSL}_{2}(439)","!439","Not implemented","0"
"220","A_{13}","! 2,13","","1"
"220","A_{14}","7","","1"
"220","{\rm PSU}_{4}(4)","5","","1"
"220","{\rm PSU}_{5}(2)","! 2,3","z3","0"
"220","{\rm M}_{23}","2","b7, b23","0"
"220","{\rm M}_{24}","2","b7, b23","0"
"220","2.{\rm Suz}","! 2,3","","-1"
"220","A_{221}","!13, 17","","1"
"220","A_{222}","2, 3, 37","","1"
"220","2.{\rm PSL}_{2}(439)","!439, 2","Not implemented","0"
"221","A_{12}","7","","1"
"221","A_{13}","7","","1"
"221","{\rm PSU}_{4}(4)","! 2","b5","1"
"221","A_{222}","!2, 3, 37","","1"
"221","A_{223}","223","","1"
"221","{\rm PSL}_{2}(443)","!443","Not implemented","0"
"222","A_{223}","!223","","1"
"222","A_{224}","2, 7","","1"
"222","{\rm PSL}_{2}(223)","!223","Not implemented","1"
"222","2.{\rm PSL}_{2}(223)","!2, 223","Not implemented","-1"
"222","2.{\rm PSL}_{2}(443)","!443, 2","Not implemented","0"
"223","{\rm PSp}_{4}(7)","5","","1"
"223","A_{224}","!2, 7","","1"
"223","A_{225}","3, 5","","1"
"223","{\rm PSL}_{2}(223)","!2, 7, 223","Not implemented","1"
"224","2.A_{9}","0,7","","1"
"224","A_{10}","! 2,5","","1"
"224","4.{\rm PSU}_{4}(3)","! 2,3","z12","0"
"224","{\rm PSp}_{4}(7)","! 2,5,7","","1"
"224","2.{\rm O}_{8}^+(2)","! 2,5","","1"
"224","{\rm J}_2","0,7","b5","1"
"224","A_{225}","!3, 5","","1"
"224","A_{226}","2, 113","","1"
"224","{\rm PSL}_{2}(223)","!223","Not implemented","1"
"224","2.{\rm PSL}_{2}(223)","!223, 2","Not implemented","-1"
"224","{\rm PSL}_{2}(449)","2","Not implemented","-1"
"224","2.{\rm PSL}_{2}(449)","!2, 449","Not implemented","-1"
"225","A_{10}","0,5","","1"
"225","{\rm PSp}_{4}(4)","! 2,17","d17","1"
"225","{\rm J}_2","! 2,7","","1"
"225","A_{226}","!2, 113","","1"
"225","A_{227}","227","","1"
"225","{\rm PSL}_{2}(449)","!2, 449","Not implemented","1"
"226","A_{227}","!227","","1"
"226","A_{228}","2, 3, 19","","1"
"226","{\rm PSL}_{2}(227)","!227","Not implemented","1"
"226","2.{\rm PSL}_{2}(227)","!2, 227","Not implemented","-1"
"227","A_{228}","!2, 3, 19","","1"
"227","A_{229}","229","","1"
"227","{\rm PSL}_{2}(227)","!2, 3, 19, 227","Not implemented","1"
"228","A_{229}","!229","","1"
"228","A_{230}","2, 5, 23","","1"
"228","{\rm PSL}_{2}(227)","!113, 227","Not implemented","1"
"228","2.{\rm PSL}_{2}(227)","!113, 227, 2","Not implemented","-1"
"228","{\rm PSL}_{2}(229)","!229","Not implemented","1"
"228","2.{\rm PSL}_{2}(229)","!229","Not implemented","-1"
"228","{\rm PSL}_{2}(457)","2","Not implemented","-1"
"228","2.{\rm PSL}_{2}(457)","!2, 457","Not implemented","-1"
"229","A_{23}","11","","1"
"229","A_{24}","11","","1"
"229","{\rm PSU}_{6}(2)","3","","1"
"229","{\rm M}_{23}","11","","1"
"229","{\rm M}_{24}","11","","1"
"229","A_{230}","!2, 5, 23","","1"
"229","A_{231}","3, 7, 11","","1"
"229","{\rm PSL}_{2}(229)","!2, 5, 23, 229","Not implemented","1"
"229","{\rm PSL}_{2}(457)","!2, 457","Not implemented","1"
"230","A_{23}","! 3,7,11","","1"
"230","A_{24}","2","","1"
"230","{\rm M}_{23}","0,5,23","","1"
"230","{\rm McL}","2,5","","1"
"230","{\rm Co}_{3}","2,5","","1"
"230","{\rm Co}_{2}","2","","1"
"230","A_{231}","!3, 7, 11","","1"
"230","A_{232}","2, 29","","1"
"230","{\rm PSL}_{2}(229)","!229","Not implemented","1"
"230","2.{\rm PSL}_{2}(229)","!2, 229","Not implemented","-1"
"230","{\rm PSL}_{2}(461)","2","Not implemented","-1"
"230","2.{\rm PSL}_{2}(461)","!2, 461","Not implemented","-1"
"231","A_{11}","0,7,11","","1"
"231","A_{23}","! 2,23","","1"
"231","A_{24}","3","","1"
"231","{\rm PSU}_{6}(2)","! 2,3","","1"
"231","3.{\rm PSU}_{6}(2)","! 2,3","z3","-1"
"231","{\rm M}_{22}","! 2,5","","1"
"231","3.{\rm M}_{22}","! 2,3","z3","-1"
"231","{\rm M}_{23}","! 2,23","","1"
"231","{\rm M}_{23}","! 2,3,5","i15","-1"
"231","{\rm M}_{24}","3,5","","1"
"231","{\rm M}_{24}","! 2,3,5","i15","-1"
"231","{\rm HS}","! 2,5","","1"
"231","{\rm McL}","0,7,11","","1"
"231","{\rm Co}_{3}","3","","1"
"231","A_{232}","!2, 29","","1"
"231","A_{233}","233","","1"
"231","{\rm PSL}_{2}(461)","!2, 461","Not implemented","1"
"231","{\rm PSL}_{2}(463)","!463","Not implemented","0"
"232","A_{233}","!233","","1"
"232","A_{234}","2, 3, 13","","1"
"232","{\rm PSL}_{2}(233)","!233","Not implemented","1"
"232","2.{\rm PSL}_{2}(233)","!233","Not implemented","-1"
"232","2.{\rm PSL}_{2}(463)","!463, 2","Not implemented","0"
"233","A_{13}","5","","1"
"233","A_{14}","5","","1"
"233","A_{234}","!2, 3, 13","","1"
"233","A_{235}","5, 47","","1"
"233","{\rm PSL}_{2}(233)","!2, 3, 13, 233","Not implemented","1"
"233","{\rm PSL}_{2}(467)","!467","Not implemented","0"
"234","{\rm PSL}_{4}(3)","0,13","","1"
"234","A_{235}","!5, 47","","1"
"234","A_{236}","2, 59","","1"
"234","{\rm PSL}_{2}(233)","!233","Not implemented","1"
"234","2.{\rm PSL}_{2}(233)","!2, 233","Not implemented","-1"
"234","2.{\rm PSL}_{2}(467)","!467, 2","Not implemented","0"
"235","A_{236}","!2, 59","","1"
"235","A_{237}","3, 79","","1"
"236","2.{\rm J}_2","3","","-1"
"236","A_{237}","!3, 79","","1"
"236","A_{238}","2, 7, 17","","1"
"237","A_{238}","!2, 7, 17","","1"
"237","A_{239}","239","","1"
"238","{\rm PSp}_{8}(2)","! 2,3","","1"
"238","A_{239}","!239","","1"
"238","A_{240}","2, 3, 5","","1"
"238","{\rm PSL}_{2}(239)","!239","Not implemented","1"
"238","2.{\rm PSL}_{2}(239)","!2, 239","Not implemented","-1"
"239","A_{240}","!2, 3, 5","","1"
"239","A_{241}","241","","1"
"239","{\rm PSL}_{2}(239)","!2, 3, 5, 239","Not implemented","1"
"239","{\rm PSL}_{2}(479)","!479","Not implemented","0"
"240","{\rm PSU}_{3}(16)","! 2","","-1"
"240","A_{241}","!241","","1"
"240","A_{242}","2, 11","","1"
"240","{\rm PSL}_{2}(239)","!239","Not implemented","1"
"240","2.{\rm PSL}_{2}(239)","!239, 2","Not implemented","-1"
"240","{\rm PSL}_{2}(241)","!241","Not implemented","1"
"240","2.{\rm PSL}_{2}(241)","!11, 241","Not implemented","-1"
"240","2.{\rm PSL}_{2}(479)","!479, 2","Not implemented","0"
"241","{\rm PSU}_{3}(16)","! 2,17","z17","0"
"241","A_{242}","!2, 11","","1"
"241","A_{243}","","","1"
"241","{\rm PSL}_{2}(241)","!2, 11, 241","Not implemented","1"
"242","A_{243}","!","","1"
"242","A_{244}","2, 61","","1"
"242","{\rm PSL}_{2}(243)","!3","Not implemented","1"
"242","2.{\rm PSL}_{2}(243)","!2, 3","Not implemented","-1"
"242","{\rm PSL}_{2}(241)","!241","Not implemented","1"
"242","2.{\rm PSL}_{2}(241)","!2, 241","Not implemented","-1"
"243","A_{244}","!2, 61","","1"
"243","A_{245}","5, 7","","1"
"243","{\rm PSL}_{2}(243)","!2, 61, 3","Not implemented","1"
"243","{\rm PSL}_{2}(487)","!487","Not implemented","0"
"244","{\rm J}_3","2","b17","1"
"244","A_{245}","!5, 7","","1"
"244","A_{246}","2, 3, 41","","1"
"244","{\rm PSL}_{2}(243)","!11, 3","Not implemented","1"
"244","2.{\rm PSL}_{2}(243)","!11, 3, 2","Not implemented","-1"
"244","2.{\rm PSL}_{2}(487)","!487, 2","Not implemented","0"
"245","{\rm O}_{8}^-(3)","13","","1"
"245","A_{246}","!2, 3, 41","","1"
"245","A_{247}","13, 19","","1"
"245","{\rm PSL}_{2}(491)","!491","Not implemented","0"
"246","{\rm O}_{8}^-(3)","! 3,13","","1"
"246","{}^{2}F_{4}(2)'","2","","1"
"246","{\rm He}","2","b17","1"
"246","A_{247}","!13, 19","","1"
"246","A_{248}","2, 31","","1"
"246","2.{\rm PSL}_{2}(491)","!491, 2","Not implemented","0"
"247","A_{248}","!2, 31","","1"
"247","A_{249}","3, 83","","1"
"248","{\rm PSL}_{4}(5)","2","","1"
"248","2.{\rm PSL}_{4}(5)","! 2,5","","1"
"248","{\rm PSp}_{4}(5)","2","b5","1"
"248","{\rm Th}","all","","1"
"248","A_{249}","!3, 83","","1"
"248","A_{250}","2, 5","","1"
"249","A_{250}","!2, 5","","1"
"249","A_{251}","251","","1"
"249","{\rm PSL}_{2}(499)","!499","Not implemented","0"
"250","A_{251}","!251","","1"
"250","A_{252}","2, 3, 7","","1"
"250","{\rm PSL}_{2}(251)","!251","Not implemented","1"
"250","2.{\rm PSL}_{2}(251)","!2, 251","Not implemented","-1"
"250","2.{\rm PSL}_{2}(499)","!499, 2","Not implemented","0"
